id,question_id,item_type,item_key,parent_key,label,value,sort_order,correct_value,correct_order,is_correct
q009_a,q009,choice,A,,A. 私たちのロンドンツアーにはバッキンガム宮殿の訪問も含まれていました,A,1,,,false
q009_b,q009,choice,B,,B. ロンドンとツアーのみ,B,2,,,false
q009_c,q009,choice,C,,C. ツアーと訪問のみ,C,3,,,false
q009_d,q009,choice,D,,D. ロンドンとバッキンガム宮殿のみ,D,4,,,true
q001_a,q001,choice,A,,A. オートコンプリート エンドポイントに API クエリを実行し、本文に suggesterName を含めます。,A,1,,,true
q001_b,q001,choice,B,,B. 3 つの製品名フィールドをソース フィールドとして持つサジェスターを追加します。,B,2,,,true
q001_c,q001,choice,C,,C. 検索エンドポイントに API クエリを実行し、searchFields クエリ パラメータに製品名フィールドを含めます。,C,3,,,false
q001_d,q001,choice,D,,D. 3 つの製品名フィールドごとにサジェスターを追加します。,D,4,,,false
q001_e,q001,choice,E,,E. 3 つの製品名のバリエーションに対して searchAnalyzer プロパティを設定します。,E,5,,,false
q001_f,q001,choice,F,,F. 3 つの製品名バリアントのアナライザー プロパティを設定します。,F,6,,,true
q002_1,q002,drag_item,1,,Video Indexer API を使用してビデオのインデックスを作成します。,1,1,,2,
q002_2,q002,drag_item,2,,ビデオを BLOB ストレージにアップロードします。,2,2,,1,
q002_3,q002,drag_item,3,,Computer Vision API を使用してビデオを分析します。,3,3,,,
q002_4,q002,drag_item,4,,Microsoft Stream からトランスクリプトを抽出します。,4,4,,,
q002_5,q002,drag_item,5,,トランスクリプトを発話として Language Understanding API に送信します。,5,5,,,
q002_6,q002,drag_item,6,,Video Indexer API からトランスクリプトを抽出します。,6,6,,3,
q002_7,q002,drag_item,7,,Translator API を使用してトランスクリプトを翻訳します。,7,7,,4,
q002_8,q002,drag_item,8,,ビデオをファイル ストレージにアップロードします。,8,8,,,
q004_blank_1,q004,dropdown_blank,select01,,<select01>,,1,stream,,
q004_blank_2,q004,dropdown_blank,select02,,<select02>,,2,VisualFeatureTypes.Description,,
q004_blank_3,q004,dropdown_blank,select03,,<select03>,,3,var c = results.Description.Captions[0],,
q004_opt_1,q004,dropdown_option,opt1,select01,Dictonary,Dictonary,1,,,
q004_opt_2,q004,dropdown_option,opt2,select01,stream,stream,2,,,
q004_opt_3,q004,dropdown_option,opt3,select01,string,string,3,,,
q004_opt_4,q004,dropdown_option,opt4,select02,VisualFeatureTypes.Description,VisualFeatureTypes.Description,1,,,
q004_opt_5,q004,dropdown_option,opt5,select02,VisualFeatureTypes.ImageType,VisualFeatureTypes.ImageType,2,,,
q004_opt_6,q004,dropdown_option,opt6,select02,VisualFeatureTypes.Objects,VisualFeatureTypes.Objects,3,,,
q004_opt_7,q004,dropdown_option,opt7,select02,VisualFeatureTypes.Tags,VisualFeatureTypes.Tags,4,,,
q004_opt_8,q004,dropdown_option,opt8,select03,var c = results.Brands.DetectedBrands[0],var c = results.Brands.DetectedBrands[0],1,,,
q004_opt_9,q004,dropdown_option,opt9,select03,var c = results.Description.Captions[0],var c = results.Description.Captions[0],2,,,
q004_opt_10,q004,dropdown_option,opt10,select03,var c = results.Metadata[0],var c = results.Metadata[0],3,,,
q004_opt_11,q004,dropdown_option,opt11,select03,var c = results.Objects[0],var c = results.Objects[0],4,,,
q005_blank_1,q005,dropdown_blank,select01,,<select01>,,1,name[language],,
q005_blank_2,q005,dropdown_blank,select02,,<select02>,,2,"""$when"": ""${stockLevel != 'OK'}""",,
q005_blank_3,q005,dropdown_blank,select03,,<select03>,,3,image.altText[language],,
q005_opt_1,q005,dropdown_option,opt1,select01,"if(language == 'en', 'en', name)","if(language == 'en', 'en', name)",1,,,
q005_opt_2,q005,dropdown_option,opt2,select01,name,name,2,,,
q005_opt_3,q005,dropdown_option,opt3,select01,name.en,name.en,3,,,
q005_opt_4,q005,dropdown_option,opt4,select01,name[language],name[language],4,,,
q005_opt_5,q005,dropdown_option,opt5,select02,"""$when"": ""${stockLevel != 'OK'}""","""$when"": ""${stockLevel != 'OK'}""",1,,,
q005_opt_6,q005,dropdown_option,opt6,select02,"""$when"": ""${stockLevel == 'OK'}""","""$when"": ""${stockLevel == 'OK'}""",2,,,
q005_opt_7,q005,dropdown_option,opt7,select02,"""$when"": ""$stockLevel.OK""","""$when"": ""$stockLevel.OK""",3,,,
q005_opt_8,q005,dropdown_option,opt8,select03,image.altText.en,image.altText.en,1,,,
q005_opt_9,q005,dropdown_option,opt9,select03,image.altText.language,image.altText.language,2,,,
q005_opt_10,q005,dropdown_option,opt10,select03,"image.altText[""language""]","image.altText[""language""]",3,,,
q005_opt_11,q005,dropdown_option,opt11,select03,image.altText[language],image.altText[language],4,,,
q006_blank_1,q006,dropdown_blank,select01,,<select01>,,1,api-nam.cognitive.microsfttranslator.com,,
q006_blank_2,q006,dropdown_blank,select02,,<select02>,,2,/translate,,
q006_opt_1,q006,dropdown_option,opt1,select01,api.cognitive.microsofttranslator.com,api.cognitive.microsofttranslator.com,1,,,
q006_opt_2,q006,dropdown_option,opt2,select01,api-nam.cognitive.microsfttranslator.com,api-nam.cognitive.microsfttranslator.com,2,,,
q006_opt_3,q006,dropdown_option,opt3,select01,westus.tts.speech.microsoft.com,westus.tts.speech.microsoft.com,3,,,
q006_opt_4,q006,dropdown_option,opt4,select01,wwixs.cognitiveservices.azure.com/translator,wwixs.cognitiveservices.azure.com/translator,4,,,
q006_opt_5,q006,dropdown_option,opt5,select02,/detect,/detect,1,,,
q006_opt_6,q006,dropdown_option,opt6,select02,/languages,/languages,2,,,
q006_opt_7,q006,dropdown_option,opt7,select02,/text-to-speech,/text-to-speech,3,,,
q006_opt_8,q006,dropdown_option,opt8,select02,/translate,/translate,4,,,
q007_blank_1,q007,dropdown_blank,select01,,<select01>,,1,QnA Maker Editor,,
q007_blank_2,q007,dropdown_blank,select02,,<select02>,,2,Contributor,,
q007_opt_1,q007,dropdown_option,opt1,select01,Cognitive Service User,Cognitive Service User,1,,,
q007_opt_2,q007,dropdown_option,opt2,select01,Contributor,Contributor,2,,,
q007_opt_3,q007,dropdown_option,opt3,select01,Owner,Owner,3,,,
q007_opt_4,q007,dropdown_option,opt4,select01,QnA Maker Editor,QnA Maker Editor,4,,,
q007_opt_5,q007,dropdown_option,opt5,select01,QnA Maker Read,QnA Maker Read,5,,,
q007_opt_6,q007,dropdown_option,opt6,select02,Cognitive Service User,Cognitive Service User,1,,,
q007_opt_7,q007,dropdown_option,opt7,select02,Contributor,Contributor,2,,,
q007_opt_8,q007,dropdown_option,opt8,select02,Owner,Owner,3,,,
q007_opt_9,q007,dropdown_option,opt9,select02,QnA Maker Editor,QnA Maker Editor,4,,,
q007_opt_10,q007,dropdown_option,opt10,select02,QnA Maker Read,QnA Maker Read,5,,,
q008_blank_1,q008,dropdown_blank,select01,,<select01>,,1,Computer Vision,,
q008_blank_2,q008,dropdown_blank,select02,,<select02>,,2,Language,,
q008_opt_1,q008,dropdown_option,opt1,select01,Azure Cognitive Search,Azure Cognitive Search,1,,,
q008_opt_2,q008,dropdown_option,opt2,select01,Computer Vision,Computer Vision,2,,,
q008_opt_3,q008,dropdown_option,opt3,select01,From Recognizar,From Recognizar,3,,,
q008_opt_4,q008,dropdown_option,opt4,select02,Azure Cognitive Search,Azure Cognitive Search,1,,,
q008_opt_5,q008,dropdown_option,opt5,select02,Computer Vision,Computer Vision,2,,,
q008_opt_6,q008,dropdown_option,opt6,select02,From Recognizar,From Recognizar,3,,,
q008_opt_7,q008,dropdown_option,opt7,select02,Language,Language,4,,,
q010_blank_1,q010,dropdown_blank,select01,,<select01>,,1,トランザクション書き込み。,,
q010_opt_1,q010,dropdown_option,opt1,select01,エンティティ間の関係性の変更。,エンティティ間の関係性の変更。,1,,,
q010_opt_2,q010,dropdown_option,opt2,select01,地理的に分散した書き込み。,地理的に分散した書き込み。,2,,,
q010_opt_3,q010,dropdown_option,opt3,select01,トランザクション書き込み。,トランザクション書き込み。,3,,,
q010_opt_4,q010,dropdown_option,opt4,select01,さまざまなデータ構造を持つ書き込み。,さまざまなデータ構造を持つ書き込み。,4,,,
q034_s1,q034,statement,S1,,解決策: インデックスを追加します。,,1,,,false
q022_s1,q022,statement,S1,,3つの文を異なる声で聞きます。,,1,,,true
q022_s2,q022,statement,S2,,3つの文を異なるアクセントで聞きます。,,2,,,false
q022_s3,q022,statement,S3,,3つの文をニュートラルなトーンで表現して聞きます。,,3,,,false
q011_a,q011,choice,A,,A. 機械学習,A,1,,,true
q011_b,q011,choice,B,,B. 正規表現,B,2,,,false
q011_c,q011,choice,C,,C. 地理V2,C,3,,,false
q011_d,q011,choice,D,,D. パターン.任意,D,4,,,false
q011_e,q011,choice,E,,E. リスト,E,5,,,false
q013_blank_1,q013,dropdown_blank,select01,,<select01>,,1,role,,
q013_blank_2,q013,dropdown_blank,select02,,<select02>,,2,style,,
q013_opt_1,q013,dropdown_option,opt1,select01,role,role,1,,,
q013_opt_2,q013,dropdown_option,opt2,select01,style,style,2,,,
q013_opt_3,q013,dropdown_option,opt3,select01,styledegree,styledegree,3,,,
q013_opt_4,q013,dropdown_option,opt4,select01,type,type,4,,,
q013_opt_5,q013,dropdown_option,opt5,select01,voice,voice,5,,,
q013_opt_6,q013,dropdown_option,opt6,select02,role,role,1,,,
q013_opt_7,q013,dropdown_option,opt7,select02,style,style,2,,,
q013_opt_8,q013,dropdown_option,opt8,select02,styledegree,styledegree,3,,,
q013_opt_9,q013,dropdown_option,opt9,select02,type,type,4,,,
q013_opt_10,q013,dropdown_option,opt10,select02,voice,voice,5,,,
q014_s1,q014,statement,S1,,user.name はエンティティです。,,1,,,false
q014_s2,q014,statement,S2,,ダイアログはユーザー名と年齢を尋ね、user.name プロパティと user.age プロパティに適切な値を割り当てます。,,2,,,true
q014_s3,q014,statement,S3,,チャットボットは、userName または personName の最初の null 以外のエンティティ値を取得し、その値を user.name に割り当てます。,,3,,,true
q015_a,q015,choice,A,,A. Application Insights リソースをプロビジョニングします。,A,1,,,false
q015_b,q015,choice,B,,B. Microsoft Foundry プロジェクトを作成します。,B,2,,,true
q015_c,q015,choice,C,,C. Agent1 を Microsoft Foundry プロジェクトに追加します。,C,3,,,false
q015_d,q015,choice,D,,D. Agent1 を Microsoft Foundry プレイグラウンドに追加します。,D,4,,,false
q016_1,q016,drag_item,1,,新しいクエリキーを追加します。,1,1,,1,
q016_2,q016,drag_item,2,,セカンダリ管理者キーを再生成します。,2,2,,,
q016_3,q016,drag_item,3,,セカンダリ管理者キーを使用するようにアプリを変更します。,3,3,,,
q016_4,q016,drag_item,4,,新しいキーを使用するようにアプリを変更します。,4,4,,2,
q016_5,q016,drag_item,5,,プライマリ管理者キーを再生成します。,5,5,,,
q016_6,q016,drag_item,6,,侵害されたキーを削除します。,6,6,,3,
q019_a,q019,choice,A,,A. toScript=Cyrl,A,1,,,false
q019_b,q019,choice,B,,B. from=el,B,2,,,false
q019_c,q019,choice,C,,C. textType=html,C,3,,,true
q019_d,q019,choice,D,,D. to=el,D,4,,,true
q019_e,q019,choice,E,,E. textType=plain,E,5,,,false
q019_f,q019,choice,F,,F. toScript=Latn,F,6,,,true
q020_1,q020,drag_item,1,,アプリケーションをトレーニングします。,1,1,,3,
q020_2,q020,drag_item,2,,アプリケーションを公開します。,2,2,,4,
q020_3,q020,drag_item,3,,新しいアプリケーションを追加します。,3,3,,1,
q020_4,q020,drag_item,4,,発話例を追加します。,4,4,,,
q020_5,q020,drag_item,5,,事前に構築されたドメインのToDoを追加します。,5,5,,2,
q003_blank_1,q003,dropdown_blank,select01,,Source:<select01>,,1,Azure Blob storage,,
q003_opt_1_1,q003,dropdown_option,opt1_1,select01,Azure Blob storage,Azure Blob storage,1,,,
q003_opt_1_2,q003,dropdown_option,opt1_2,select01,Custom Vison API,Custom Vison API,2,,,
q003_opt_1_3,q003,dropdown_option,opt1_3,select01,Azure Files,Azure Files,3,,,
q003_opt_1_4,q003,dropdown_option,opt1_4,select01,Language Understanding API,Language Understanding API,4,,,
q003_opt_1_5,q003,dropdown_option,opt1_5,select01,Translator API,Translator API,5,,,
q003_opt_1_6,q003,dropdown_option,opt1_6,select01,Computer Vision API,Computer Vision API,6,,,
q003_opt_1_7,q003,dropdown_option,opt1_7,select01,Azure Cosmos DB,Azure Cosmos DB,7,,,
q003_blank_2,q003,dropdown_blank,select02,,Cracking:<select02>,,2,Computer Vision API,,
q003_opt_2_1,q003,dropdown_option,opt2_1,select02,Azure Blob storage,Azure Blob storage,1,,,
q003_opt_2_2,q003,dropdown_option,opt2_2,select02,Custom Vison API,Custom Vison API,2,,,
q003_opt_2_3,q003,dropdown_option,opt2_3,select02,Azure Files,Azure Files,3,,,
q003_opt_2_4,q003,dropdown_option,opt2_4,select02,Language Understanding API,Language Understanding API,4,,,
q003_opt_2_5,q003,dropdown_option,opt2_5,select02,Translator API,Translator API,5,,,
q003_opt_2_6,q003,dropdown_option,opt2_6,select02,Computer Vision API,Computer Vision API,6,,,
q003_opt_2_7,q003,dropdown_option,opt2_7,select02,Azure Cosmos DB,Azure Cosmos DB,7,,,
q003_blank_3,q003,dropdown_blank,select03,,Preparation:<select03>,,3,Translator API,,
q003_opt_3_1,q003,dropdown_option,opt3_1,select03,Azure Blob storage,Azure Blob storage,1,,,
q003_opt_3_2,q003,dropdown_option,opt3_2,select03,Custom Vison API,Custom Vison API,2,,,
q003_opt_3_3,q003,dropdown_option,opt3_3,select03,Azure Files,Azure Files,3,,,
q003_opt_3_4,q003,dropdown_option,opt3_4,select03,Language Understanding API,Language Understanding API,4,,,
q003_opt_3_5,q003,dropdown_option,opt3_5,select03,Translator API,Translator API,5,,,
q003_opt_3_6,q003,dropdown_option,opt3_6,select03,Computer Vision API,Computer Vision API,6,,,
q003_opt_3_7,q003,dropdown_option,opt3_7,select03,Azure Cosmos DB,Azure Cosmos DB,7,,,
q003_blank_4,q003,dropdown_blank,select04,,Destination:<select04>,,4,Azure Files,,
q003_opt_4_1,q003,dropdown_option,opt4_1,select04,Azure Blob storage,Azure Blob storage,1,,,
q003_opt_4_2,q003,dropdown_option,opt4_2,select04,Custom Vison API,Custom Vison API,2,,,
q003_opt_4_3,q003,dropdown_option,opt4_3,select04,Azure Files,Azure Files,3,,,
q003_opt_4_4,q003,dropdown_option,opt4_4,select04,Language Understanding API,Language Understanding API,4,,,
q003_opt_4_5,q003,dropdown_option,opt4_5,select04,Translator API,Translator API,5,,,
q003_opt_4_6,q003,dropdown_option,opt4_6,select04,Computer Vision API,Computer Vision API,6,,,
q003_opt_4_7,q003,dropdown_option,opt4_7,select04,Azure Cosmos DB,Azure Cosmos DB,7,,,
q012_blank_1,q012,dropdown_blank,select01,,社内支出申請承認フォーム:<select01>,,1,An Azure AI Document Intelligence custom model,,
q012_opt_1_1,q012,dropdown_option,opt1_1,select01,An Azure AI Document Intelligence custom model,An Azure AI Document Intelligence custom model,1,,,
q012_opt_1_2,q012,dropdown_option,opt1_2,select01,An Azure AI Document Intelligence pre-built model,An Azure AI Document Intelligence pre-built model,2,,,
q012_opt_1_3,q012,dropdown_option,opt1_3,select01,Azure Custom Vision,Azure Custom Vision,3,,,
q012_opt_1_4,q012,dropdown_option,opt1_4,select01,Azure Immersive Reader,Azure Immersive Reader,4,,,
q012_opt_1_5,q012,dropdown_option,opt1_5,select01,Azure AI Vision,Azure AI Vision,5,,,
q012_blank_2,q012,dropdown_blank,select02,,仕入先請求書:<select02>,,2,Azure Immersive Reader,,
q012_opt_2_1,q012,dropdown_option,opt2_1,select02,An Azure AI Document Intelligence custom model,An Azure AI Document Intelligence custom model,1,,,
q012_opt_2_2,q012,dropdown_option,opt2_2,select02,An Azure AI Document Intelligence pre-built model,An Azure AI Document Intelligence pre-built model,2,,,
q012_opt_2_3,q012,dropdown_option,opt2_3,select02,Azure Custom Vision,Azure Custom Vision,3,,,
q012_opt_2_4,q012,dropdown_option,opt2_4,select02,Azure Immersive Reader,Azure Immersive Reader,4,,,
q012_opt_2_5,q012,dropdown_option,opt2_5,select02,Azure AI Vision,Azure AI Vision,5,,,
q017_1,q017,drag_item,1,,Completionsプレイグラウンドを開き、デプロイ済みのモデルを選択します。,1,1,,,
q017_2,q017,drag_item,2,,新しいデプロイメントを作成し、DALL-Eモデルを選択します。,2,2,,,
q017_3,q017,drag_item,3,,Chatプレイグラウンドを開き、デプロイ済みのモデルを選択します。,3,3,,2,
q017_4,q017,drag_item,4,,システムメッセージフィールドに「You are an AI assistant that describes images.（画像を説明するAIアシスタントです）」と入力します。,4,4,,3,
q017_5,q017,drag_item,5,,新しいデプロイメントを作成し、GPT-4モデルを選択し、モデルバージョンをvision-previewに設定します。,5,5,,1,
q017_6,q017,drag_item,6,,新しいデプロイメントを作成し、text-embedding-ada-002モデルを選択し、モデルバージョンを2.0に設定します。,6,6,,,
q017_7,q017,drag_item,7,,Chatセッションペインで、「Describe this image（この画像を説明してください）」というテキストプロンプトを入力し、添付ボタンを使用して画像をアップロードします。,7,7,,4,
q018_1,q018,drag_item,1,,Server1 から docker push コマンドを実行します。,1,1,,,
q018_2,q018,drag_item,2,,Azure 上の Azure AI Anomaly Detector の予測エンドポイントをクエリします。,2,2,,,
q018_3,q018,drag_item,3,,Server1 に Docker エンジンをインストールします。,3,3,,1,
q018_4,q018,drag_item,4,,Server1 から docker pull コマンドを実行します。,4,4,,2,
q018_5,q018,drag_item,5,,Server1 から docker run コマンドを実行します。,5,5,,3,
q018_6,q018,drag_item,6,,Server1 の予測エンドポイントをクエリします。,6,6,,4,
q021_a,q021,choice,A,,A. 言語オーサリング REST エンドポイントから、モデル評価の概要を取得します。,A,1,,,true
q021_b,q021,choice,B,,B. Language Studio から、アクティブ ラーニングを有効にし、レビュー用に記録された発話を検証します。,B,2,,,false
q021_c,q021,choice,C,,C. Language Studio から、モデルのパフォーマンスを選択します。,C,3,,,true
q021_d,q021,choice,D,,D. Azure ポータルから、Log Analytics でログ収集を有効にし、ログを分析します。,D,4,,,false
q023_1,q023,drag_item,1,,Azure Bot Service にボットを登録します。,1,1,,,
q023_2,q023,drag_item,2,,Bot Framework Composer を開きます。,2,2,,,
q023_3,q023,drag_item,3,,ボットをビルドして実行します。,3,3,,1,
q023_4,q023,drag_item,4,,Bot Framework Emulator を開きます。,4,4,,2,
q023_5,q023,drag_item,5,,ボットのエンドポイントに接続します。,5,5,,3,
q024_a,q024,choice,A,,A. キオスク システムを説明する声優の 5 分間の wav または mp3 ファイル,A,1,,,false
q024_b,q024,choice,B,,B. 5 分間の .flac オーディオ ファイルと関連するトランスクリプトを aw ファイルとして,B,2,,,false
q024_c,q024,choice,C,,C. 声の合成バージョンの作成に同意した声優の .wav または mp3 ファイル,C,3,,,true
q024_d,q024,choice,D,,D. 10 秒の .wav ファイルと関連するトランスクリプトを .txt ファイルとして含む .zip ファイル,D,4,,,false
q025_blank_1,q025,dropdown_blank,select01,,Benefitsフィールドの型:<select01>,,1,table,,
q025_opt_1_1,q025,dropdown_option,opt1_1,select01,fixed table,fixed table,1,,,
q025_opt_1_2,q025,dropdown_option,opt1_2,select01,string,string,2,,,
q025_opt_1_3,q025,dropdown_option,opt1_3,select01,table,table,3,,,
q025_blank_2,q025,dropdown_blank,select02,,スキーマのフィールド数:<select02>,,2,5,,
q025_opt_2_1,q025,dropdown_option,opt2_1,select02,2,2,1,,,
q025_opt_2_2,q025,dropdown_option,opt2_2,select02,5,5,2,,,
q025_opt_2_3,q025,dropdown_option,opt2_3,select02,10,10,3,,,
q026_a,q026,choice,A,,A. Azure Al 言語,A,1,,,true
q026_b,q026,choice,B,,B. Azure 機械学習,B,2,,,false
q026_c,q026,choice,C,,C. Azure OpenAI,C,3,,,false
q026_d,q026,choice,D,,D. Azure AI ドキュメント インテリジェンス,D,4,,,false
q027_1,q027,drag_item,1,,あらかじめ構築されたドメインのToDoを追加します。,1,1,,2,
q027_2,q027,drag_item,2,,新しいアプリケーションを追加します。,2,2,,1,
q027_3,q027,drag_item,3,,発話例を追加します。,3,3,,,
q027_4,q027,drag_item,4,,アプリケーションをトレーニングします。,4,4,,3,
q027_5,q027,drag_item,5,,アプリケーションを公開します。,5,5,,4,
q028_blank_1,q028,dropdown_blank,select01,,着信ボイスメールをフランス語で受信します:<select01>,,1,AudioConfig,,
q028_opt_1_1,q028,dropdown_option,opt1_1,select01,AudioConfig,AudioConfig,1,,,
q028_opt_1_2,q028,dropdown_option,opt1_2,select01,SpeechConfig,SpeechConfig,2,,,
q028_opt_1_3,q028,dropdown_option,opt1_3,select01,SpeechTransaltionConfig,SpeechTransaltionConfig,3,,,
q028_opt_1_4,q028,dropdown_option,opt1_4,select01,TextTranslationClient,TextTranslationClient,4,,,
q028_blank_2,q028,dropdown_blank,select02,,ボイスメールをフランス語から英語に変換します:<select02>,,2,TranslationRecognizer,,
q028_opt_2_1,q028,dropdown_option,opt2_1,select02,SpeechSynthesizer,SpeechSynthesizer,1,,,
q028_opt_2_2,q028,dropdown_option,opt2_2,select02,TextTransactionClient,TextTransactionClient,2,,,
q028_opt_2_3,q028,dropdown_option,opt2_3,select02,TranslationRecognitionResult,TranslationRecognitionResult,3,,,
q028_opt_2_4,q028,dropdown_option,opt2_4,select02,TranslationRecognizer,TranslationRecognizer,4,,,
q029_blank_1,q029,dropdown_blank,select01,,授業計画を分析します:<select01>,,1,Azure AI Document Intelligence,,
q029_opt_1_1,q029,dropdown_option,opt1_1,select01,Azure AI Search,Azure AI Search,1,,,
q029_opt_1_2,q029,dropdown_option,opt1_2,select01,Azure Custom Vision,Azure Custom Vision,2,,,
q029_opt_1_3,q029,dropdown_option,opt1_3,select01,Azure AI Document Intelligence,Azure AI Document Intelligence,3,,,
q029_opt_1_4,q029,dropdown_option,opt1_4,select01,Immersive Reader,Immersive Reader,4,,,
q029_blank_2,q029,dropdown_blank,select02,,学習内容を分析します:<select02>,,2,Immersive Reader,,
q029_opt_2_1,q029,dropdown_option,opt2_1,select02,Azure AI Search,Azure AI Search,1,,,
q029_opt_2_2,q029,dropdown_option,opt2_2,select02,Azure Custom Vision,Azure Custom Vision,2,,,
